country,year,month,fx_reserves
china,2010,12,2866079.31631537
china,2011,3,3067170.82174377
china,2011,10,3295496.01502801
china,2012,3,3326601.46003513
china,2013,2,3414507.25810586
china,2017,3,3028475.17207416
china,2017,4,3049091.07619464
china,2019,5,3119969.247138
china,2020,3,3079722.20775642
china,2021,10,3281736.34740221
china,2022,1,3285770.43665788
china,2022,6,3133187.68327234
china,2022,12,3189689.10881378
china,2024,5,3295323.20777579
china,2006,1,847811.045425966
china,2007,5,1294638.17438851
china,2007,6,1334590.64347105
china,2009,8,2223850.56407389
china,2010,2,2441208.18174036
china,2010,6,2471211.2385356
china,2011,8,3284372.71184071
china,2011,11,3242161.71188679
china,2015,2,3816861.98840706
china,2016,2,3223325.31797588
china,2016,10,3140566.61291253
china,2017,1,3017673.92810574
china,2017,2,3024529.86397034
china,2019,4,3114006.70531411
china,2020,4,3111307.01994674
china,2020,9,3163405.4723116
china,2021,11,3286139.76583459
china,2023,4,3268238.79136729
china,2023,7,3265263.5798248
china,2006,6,943610.128048239
china,2007,1,1106814.55681381
china,2007,8,1410611.66316675
china,2011,7,3267381.82887614
china,2012,6,3260684.00799596
china,2012,8,3292652.89868711
china,2013,1,3430093.73075334
china,2013,9,3681034.36606147
china,2014,1,3884644.30472166
china,2015,4,3763465.01063673
china,2016,4,3240866.52881999
china,2017,12,3158876.94721304
china,2018,5,3128983.62539914
china,2018,7,3137279.05221751
china,2018,12,3091881.25719908
china,2019,3,3117892.6341654
china,2019,8,3126444.12266886
china,2019,12,3127493.85803636
china,2021,7,3257656.75848476
china,2021,12,3313920.33062885
china,2022,2,3278104.54653823
china,2022,4,3182038.7253764
china,2023,1,3247415.1921716
